Country,Year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,Population_Density,Birth_Rate,Child_Mortality,mortality_change
Mongolia,2015,2998.433105,68.22999573,80.81301209,3.905181378,7.578644581,7.70316195,52.09388801,5.33358915,18.71864336,23.85387948,94.18552724,3.240070405,2.391515544,0.182886811,1.903829648,26.352,19.427,-0.9527999999999999
Comoros,2019,850.8909912,29.16400146,80.21049781,10.86041131,8.929090888,,76.91172345,11.56864724,11.51962931,,88.22284558,9.140188495,2.29677513,0.340190797,425.0327781,30.4,53.0729,-1.8297000000000025
Ghana,2015,27849.20313,54.08599854,80.15796123,7.89759919,4.426643676,7.517795899,67.20830477,11.1534648,6.335259242,15.30297119,91.15101984,5.133670929,2.806405888,0.908903345,126.8829173,31.713,55.3735,-2.4425999999999988
Comoros,2015,777.4349976,28.47000122,80.13200008,10.877265,8.395193432,0.595541491,76.91172345,11.56864724,10.82245445,0.697174858,88.22284558,9.140188495,2.29677513,0.340190797,392.3782912,32.147,61.2489,-2.2714
Gambia,2015,2085.860107,59.22800064,79.2101665,9.073370006,11.62401462,0.09244887,68.25489257,15.34008454,16.32238996,0.082632925,86.75167126,4.759421567,8.389701102,0.099206072,,,60.0933,-2.5200999999999993
Senegal,2015,14578.4502,45.86200333,78.60209362,3.392145635,17.59491318,0.410847565,65.94120156,5.253411854,28.07919255,0.726194037,93.54769776,1.195005973,5.218700794,0.038595474,74.56594297,35.357,51.0031,-2.758599999999994
Sao Tome and Principe,2020,219.1609955,74.35400391,78.22645516,20.23798298,0.443519928,1.09204193,74.30061449,19.71184258,1.729405704,4.258137228,79.5805429,20.4194571,0.0,0,227.7510417,28.435,16.1937,-0.9555000000000007
Kiribati,2020,119.4459991,55.59399796,77.97092085,4.076899625,17.95217953,0.0,60.99418489,2.096609799,36.90920532,0.0,91.53117485,5.658666461,2.810158691,0,156.1271605,27.645,49.8044,-1.5551999999999992
Nigeria,2020,206139.5938,51.95800018,77.60905338,4.979399343,11.79691148,5.614635794,61.65821003,7.128924583,20.92487535,10.28799004,92.35770519,2.99188065,3.356908786,1.29350537,228.737667,37.467,113.8195,-2.9821999999999917
Lao People's Democratic Republic,2015,6741.160156,33.10799789,77.46057221,3.052340334,14.22792235,5.259165108,70.23968655,4.170293363,18.20222139,7.387798694,92.04977998,0.793607849,6.198176795,0.958435371,,,53.7391,-2.4823999999999984
Sao Tome and Principe,2015,199.4389954,70.1740036,77.12422979,18.34430682,1.859577121,2.671886269,71.28271664,17.07304495,4.118479256,7.525759155,79.607041,18.88462966,0.899480563,0.608848777,209.5041667,32.754,23.2759,-2.1662
Tajikistan,2015,8454.018555,26.74200058,76.23949551,3.050011091,3.944733748,16.76575965,69.55218206,3.681021887,4.857485512,21.90931054,94.55895539,1.321396987,1.444318955,2.675328663,61.41698249,31.228,37.4196,-0.9754000000000005
Djibouti,2020,988.0020142,78.06199646,76.04992021,14.7574817,7.015876051,2.176722038,47.28073293,12.06161014,30.73550468,9.922152249,84.13501493,15.51511107,0.349874003,0,47.03002588,22.477,55.9509,-1.9729000000000028
Djibouti,2015,913.9979858,77.41699219,75.78704503,14.75417119,7.39492395,2.063859825,48.75920509,12.43877762,30.37700254,8.425014754,83.67122985,15.42958572,0.690911648,0.208272785,43.41065574,23.889,65.6322,-2.2121999999999957
Liberia,2020,5057.676758,52.08899689,75.26179159,8.700657475,3.488080869,12.54947006,64.10021689,6.537775797,3.383709875,25.97829744,85.52810963,10.69005698,3.58408039,0.197753001,52.81960133,31.708,78.2949,-2.265200000000007
Timor-Leste,2015,1196.293945,29.48999977,75.25010371,3.486316247,16.46074672,4.802833323,68.95938975,4.20850771,20.19524109,6.63686145,90.29108123,1.759571234,7.5316383,0.41770924,81.09031607,27.7,61.5669,-1.9061000000000021
Afghanistan,2020,38928.33984,26.02599907,75.09141325,1.447541688,14.56026288,8.900782174,66.32791521,1.956824851,19.68294895,12.03231098,100.0,0.0,0.0,0,59.75228064,36.051,57.7978,-2.119499999999995
Mali,2015,17438.77148,39.99099731,74.39951222,4.171846453,19.37992934,2.048711981,63.39571403,4.449382415,28.94484164,3.21006192,90.91140553,3.755386657,5.027173979,0.306033834,14.84433326,44.342,115.6375,-3.3674000000000035
Kiribati,2015,110.927002,51.61899948,73.84809659,2.340891569,23.81101184,0.0,57.92225259,1.639587928,40.43815948,0.0,88.774932,2.998203296,8.226864706,0,144.082716,29.188,57.5352,-1.5382999999999996
Congo,2020,5518.091797,67.82900238,73.78451158,10.46117203,9.559180722,6.195135664,45.72441318,10.6323901,24.40516973,19.23802699,87.09329616,10.37996439,2.517789997,0.008949452,,,44.5228,-7.9266000000000005
Myanmar,2015,52680.72266,29.8579998,73.5874705,6.835532269,8.269037119,11.30796011,67.24961354,8.042280354,10.1459869,14.56211921,88.47627629,4.000656379,3.859732696,3.663334632,78.83253047,18.402,51.786,-1.9735999999999976
Liberia,2015,4472.229004,49.81999969,72.56979194,7.364422679,6.537233844,13.52855154,61.26318196,5.126042294,7.524148785,26.08662696,83.95810401,9.618977705,5.54318741,0.879730876,47.8854755,34.215,88.3241,-3.8260999999999967
Lesotho,2020,2142.251953,29.02799988,72.17603927,10.40592597,12.21725464,5.200780116,63.65035482,13.55843013,15.73132479,7.059890254,93.02090855,2.698211997,3.625530038,0.65534942,74.24571805,26.378,75.4902,-1.6968999999999994
Mauritania,2020,4649.660156,55.32699585,71.68104923,13.47689193,14.82032681,0.021732034,49.9113389,18.49039689,31.5496173,0.048646907,89.25869465,9.428808083,1.31249727,0,4.364610459,33.427,41.8271,-1.3536999999999964
Cambodia,2020,16718.9707,24.23200035,71.21988497,13.90222204,5.677218558,9.200674434,65.06715583,15.51772278,7.492899307,11.92222209,90.45807717,8.85091472,0.0,0.691008114,92.88953093,19.849,25.7905,-1.0235999999999983
Congo,2015,4856.092773,65.54299927,71.14958177,10.51052605,11.66204631,6.677845876,41.39183594,10.73957265,28.50184871,19.36674269,86.79370516,10.390113,2.809090742,0.007091096,,,52.7802,-1.8444999999999965
Eswatini,2020,1160.16394,24.17100143,70.75307095,9.507067163,9.835567931,9.904293959,62.46644874,12.29969513,12.45046093,12.78339519,96.74976305,0.746064473,1.632164244,0.872008229,68.64273256,24.615,56.1649,-0.7371999999999943
Lesotho,2015,2059.010986,26.90800095,70.5456894,10.86331049,14.5343829,4.056617208,63.42088315,13.04933941,18.16490493,5.364872511,89.89927614,4.925254235,4.672553616,0.502916007,69.78000659,28.305,82.4855,-1.492999999999995
Malawi,2020,19129.95508,17.42700005,70.04772851,21.95081497,5.776304407,2.22515211,66.58504376,24.41415803,6.383874146,2.616924066,86.45469821,10.27894825,2.897503996,0.368849545,205.5267395,33.233,43.5096,-2.0549000000000035
Solomon Islands,2015,603.1329956,22.3599987,69.32991889,5.705267634,18.98898125,5.975832221,63.01213819,6.338468203,23.28459564,7.364797966,91.26697205,3.506623017,4.073439607,1.152965328,21.88853162,32.928,22.7717,-0.6929000000000016
Nigeria,2015,181137.4531,47.83799744,68.77975546,6.713550996,14.73376246,9.772931086,53.492449,7.106440271,23.1071601,16.29395062,85.44885832,6.285149056,5.603506118,2.662486501,202.0222284,39.51,126.4126,-1.6096000000000004
Togo,2020,8278.737305,42.79999924,68.58372009,6.065434765,14.16432245,11.18652269,52.11755275,8.187542019,20.7910842,18.90382103,90.58991001,3.229348056,5.307990528,0.872751405,155.2230189,32.302,64.6148,-2.0311999999999983
Cambodia,2015,15521.43457,22.18799973,68.44384896,8.603248193,9.602994817,13.34990803,62.71111668,9.432045638,11.75089596,16.10594172,88.54819144,5.696703472,2.070445687,3.6846594,87.34150804,22.343,31.7461,-1.6336000000000013
Solomon Islands,2020,686.8779907,24.67000008,67.30102554,5.79547831,21.26784313,5.635653025,59.40526749,6.528523649,26.955911,7.110297857,91.41077689,3.557120425,3.899286137,1.132816553,24.69421222,30.223,19.3923,-0.6326999999999998
Mauritania,2015,4046.303955,51.0890007,66.9733094,14.81165357,17.63702375,0.578013282,46.69284218,18.20063085,33.9247615,1.181765464,86.38918859,11.56715369,2.043657719,0,3.828679538,35.18,48.9426,-1.5189000000000021
Eswatini,2015,1104.037964,23.29999924,66.70395522,8.767617333,10.89011026,13.63831719,58.1249849,11.1820493,13.43987898,17.25308683,94.94460013,0.819680322,2.496665561,1.73905399,65.92651163,27.737,64.425,-3.5069000000000017
Haiti,2020,11402.5332,57.08799744,66.6953084,9.814543652,23.49014795,0.0,42.8457001,13.25598695,43.89831295,0.0,84.62262129,7.227673879,8.149704835,0,410.2612845,23.936,60.5058,-1.993699999999997
Malawi,2015,16745.30469,16.31299973,66.15495914,19.71603831,10.55451427,3.574488277,62.24060864,21.69810966,11.87522028,4.186061413,86.23587985,9.547849488,3.779202335,0.437068325,179.6663343,35.767,56.6404,-3.185600000000001
Cameroon,2020,26545.86328,57.56000519,65.72041818,12.87474863,15.00100626,6.403826927,43.52758112,12.67259943,30.12380645,13.676013,82.08358486,13.02379677,3.850701351,1.041917019,56.04088553,35.507,72.4232,-2.670900000000003
Benin,2020,12123.19824,48.4149971,65.41412299,9.317535586,21.97254088,3.295800547,58.05226799,12.70520504,23.97796833,5.264558634,73.25800004,5.708056353,19.83580681,1.198136794,112.1241841,37.114,86.0343,-2.5720000000000027
Zambia,2020,18383.95508,44.6289978,65.41238357,6.15393902,21.57684071,6.856836706,48.22728833,8.331703613,31.60865444,11.83235362,86.73385466,3.451996194,9.130414105,0.683735046,25.46135272,34.953,59.6699,-2.915399999999998
Zimbabwe,2015,13 815,32.0,65.0,12.0,16.0,7.0,51.0,16.0,23.0,10.0,94.0,4.0,2.0,<1,36.59024687,33.96,60.4718,-2.136800000000001
Zimbabwe,2015,13814.6416,32.38499832,64.95492911,12.45676477,15.89884206,6.689464055,51.25006071,16.39672658,22.51446862,9.838744088,93.56863574,4.23071973,2.086401773,0.114242756,36.59024687,33.96,60.4718,-2.136800000000001
Benin,2015,10575.96191,45.69500351,64.7868223,8.715470654,21.29846434,5.199242713,56.78435247,11.70337067,23.77497857,7.737298286,74.29714256,5.164581154,18.35531753,2.182958756,96.95621674,39.022,97.8706,-2.2561000000000035
Equatorial Guinea,2017,1262.008057,71.64599609,64.66581606,2.957999225,26.03770633,6.338478386,30.77536932,1.353579774,46.28605636,21.58499455,78.07800598,3.592950383,18.02439455,0.304649091,51.71814617,33.507,87.6163,-3.0194000000000045
Haiti,2015,10695.54004,52.42699814,64.56748594,9.21848701,25.47783945,0.736187596,42.41641805,12.22889789,43.80719375,1.547490317,84.66767913,6.486797483,8.845523388,0,383.3003266,25.51,70.128,-1.850999999999999
Equatorial Guinea,2015,1168.574951,70.61600494,64.17860165,2.934933836,26.32879888,6.557665631,30.77536932,1.353579774,46.28605636,21.58499455,78.07800598,3.592950383,18.02439455,0.304649091,48.02042781,35.229,93.7371,-3.0605000000000047
Cameroon,2015,23298.37695,54.57799911,63.97399012,11.23827056,17.65135833,7.136380984,42.00566921,11.07338641,32.39404459,14.52689979,82.25690791,11.37549377,5.381903513,0.985694803,48.68237609,37.807,88.1203,-4.362099999999998
Guinea,2020,13132.79199,36.875,63.96178874,21.2815915,6.296119406,8.460500354,50.74817899,26.14432944,9.704719143,13.40277243,86.58169007,12.95724153,0.461068398,0,53.74065196,34.944,101.5627,-2.456299999999999
Sierra Leone,2020,7976.984863,42.92300034,63.76628562,9.023316357,15.5639457,11.64645233,52.75270267,5.221136889,23.14294909,18.88321135,78.41163766,14.07927743,5.485735437,2.023349475,114.0755057,31.914,108.5225,-3.9986999999999995
Togo,2015,7323.162109,40.09999847,63.63712635,5.665767965,17.17891539,13.51819029,47.24218328,7.334652284,23.47003618,21.95312825,88.1273297,3.172845838,7.781455041,0.918369418,137.4007906,34.392,75.9262,-2.5316000000000116
Guinea,2015,11432.0957,35.14099884,63.61538954,16.09025603,9.757980444,10.53637399,51.94915534,18.76062978,13.30971721,15.98049768,85.14750769,11.16160263,3.202620418,0.488269265,47.31400781,37.891,112.6136,-1.8416999999999888
Mozambique,2020,31255.43555,37.0739975,63.36942563,9.975784507,16.72614511,9.928644759,48.8666865,12.64088359,23.6862564,14.80617352,87.98504792,5.452291027,4.912684644,1.649976404,39.64780259,36.974,71.6371,-1.8613
Zimbabwe,2020,14 863,32.0,63.0,14.0,16.0,7.0,48.0,19.0,23.0,10.0,93.0,5.0,2.0,<1,40.50579294,31.009,51.7696,-0.8963000000000036
Zimbabwe,2020,14862.92676,32.24200058,62.66645761,14.1975397,16.27785545,6.858147242,48.28242885,18.59098467,23.01364655,10.11293992,92.89512895,4.964517757,2.122298674,0.018054615,40.50579294,31.009,51.7696,-0.8963000000000036
Burundi,2020,11890.78125,13.70800018,62.20712225,19.43969314,14.75825969,3.594924913,57.68576527,21.25148213,16.89675238,4.166000219,90.66911086,8.034462869,1.296426269,0,475.8655374,35.603,54.6112,-2.1255000000000024
Kenya,2020,53771.30078,27.99499893,61.63289158,9.54187005,9.780087524,19.04515084,51.77997893,11.56900419,12.51911322,24.13190366,86.97523145,4.327944725,2.73514263,5.961681193,91.34093545,27.998,38.5726,-0.8652999999999977
Afghanistan,2015,34413.60156,24.8029995,61.33978081,3.511199514,22.16878383,12.98023585,52.98850202,3.861136617,26.55326757,16.59709379,86.65894072,2.450270561,8.876035732,2.014752987,51.75091455,38.803,70.1723,-3.2050999999999874
Zambia,2015,15879.37012,41.9070015,61.33874628,5.65391723,23.3359001,9.671436392,43.61683432,7.210864868,33.25721949,15.91508132,85.90549729,3.495619671,9.582613847,1.016269193,21.85693916,37.832,68.2222,-1.2908999999999935
United Republic of Tanzania,2020,59734.21484,35.22700119,60.71679759,11.29007067,14.51775136,13.47538038,45.44696534,13.98368881,21.21996133,19.34938452,88.7939249,6.337231166,2.194178786,2.674665152,,,48.9965,-1.4478000000000009
Yemen,2020,29825.96875,37.90799713,60.66356984,28.9627418,7.77785276,2.595835594,50.68133437,33.53021373,11.60782393,4.180627978,77.01412934,21.48137937,1.504491286,0,,,59.6857,-1.9093000000000018
Sudan,2020,43849.26953,35.25299835,60.4486756,26.67001975,3.650217875,9.231086774,53.19902707,27.45764451,5.637660008,13.70566842,73.76365956,25.22343986,0.0,1.012900581,23.79041006,34.226,56.5847,-1.8475000000000037
Rwanda,2020,12952.20898,17.43200111,60.41450115,22.3207193,13.15480415,4.109975401,55.64246823,25.08014133,14.77886772,4.498522714,83.0175993,9.250506251,5.462303057,2.269591394,532.8886096,30.309,40.6806,-1.4228999999999985
Burundi,2015,10160.03418,12.07800007,59.58146925,19.53889184,14.86499258,6.01464634,55.55826691,21.16679557,16.59414457,6.680792951,88.86843759,7.688539534,2.277601866,1.165421012,417.7238318,41.321,67.8639,-3.6921999999999997
Guinea-Bissau,2020,1967.998047,44.19599915,59.01691221,14.03457137,26.6263769,0.322139519,49.8319053,9.285773026,40.31645129,0.565870385,70.61434791,20.03063358,9.340625284,0.014393227,71.68662873,31.605,76.9771,-2.548500000000004
Sudan,2015,38902.94922,33.89400101,58.95025332,26.11181598,5.635847128,9.302083569,51.70743773,26.68778964,8.122567512,13.48220513,73.07645757,24.98845154,0.785810622,1.14928027,20.43424946,36.413,66.0482,-1.9595000000000056
Guinea-Bissau,2015,1737.207031,42.12299728,58.76434762,10.59149221,29.74437907,0.899781093,48.42273005,7.566280361,42.58264827,1.428341318,72.97373122,14.7481336,12.10459589,0.173539289,63.61731863,35.519,91.845,-3.612099999999998
Kenya,2015,47878.33984,25.65799904,58.19692798,8.796753977,11.52291835,21.48339969,48.27216191,10.37313934,14.21683468,27.13786408,86.95314792,4.22930427,3.717504383,5.100043429,82.31979478,30.957,45.8623,-2.189300000000003
Sierra Leone,2015,7171.90918,40.82899857,57.84746516,8.196957957,15.91095456,18.04462232,45.52971384,4.840494472,21.71696143,27.91283027,75.69883758,13.06127759,7.496659761,3.743225068,101.3407177,34.558,140.9776,0.9963999999999942
Angola,2020,32866.26953,66.82499695,57.16773762,9.287349919,19.45082534,14.09408712,27.80822661,8.740488389,22.93315258,40.51813242,71.74314862,9.558837489,17.72203473,0.975979163,26.81357664,39.271,72.0743,-2.964100000000002
Rwanda,2015,11369.06641,17.00399971,57.12177402,22.15404615,13.45013172,7.27404811,52.35270956,24.60883866,14.98060354,8.057848241,80.39943738,10.17228262,5.979935166,3.448344828,471.9480746,31.833,47.7379,-2.045899999999996
Somalia,2020,15893.21875,46.14099884,56.47697339,27.70419956,13.41704303,2.401784021,37.07586282,36.64324958,21.82149546,4.459392143,79.12330574,17.26991556,3.606778703,0,26.36053177,44.007,114.8857,-3.7147999999999968
Uganda,2020,45741,24.95400047,55.85504921,27.28286,12.16590654,4.696184252,48.23118958,31.78469426,14.07616061,5.907955546,78.7828518,13.74416783,6.421044133,1.051936238,221.447292,37.252,43.6735,-1.8864000000000019
Yemen,2015,26497.88086,34.77700043,55.77886863,26.0356066,14.70974567,3.475779098,44.95826816,28.79461102,21.10381293,5.143307896,76.0725119,20.86119401,2.717904704,0.348389392,,,60.7858,1.9905000000000044
Angola,2015,27884.38086,63.44599533,54.31692835,11.36861866,17.37235635,16.94209664,26.7143694,9.931069288,21.72530762,41.62925369,70.21996512,12.19685349,14.86443147,2.718749921,22.56173979,42.02,88.339,-4.572900000000004
Madagascar,2020,27691.01953,38.5340004,53.38588491,2.71797298,32.31145967,11.58468244,36.40642028,1.601776163,43.95389345,18.03791011,80.47000694,4.498430298,13.74049434,1.291068417,48.51353902,31.343,66.119,0.06629999999999825
United Republic of Tanzania,2015,51482.63672,31.61700058,52.96379459,11.30893693,21.38524788,14.3420206,38.86342456,13.19289824,28.1932841,19.75039311,83.4608554,7.234201128,6.6604503,2.644493171,,,58.0206,-1.8205999999999989
Eritrea,2016,3376.558105,38.82699966,51.84972018,17.59725585,13.45014014,17.10288384,27.80157647,24.49842353,20.075,27.625,89.73822453,6.724275474,3.0125,0.525,27.79449641,29.91,44.8544,-1.538499999999999
Eritrea,2015,3342.818115,38.20600128,51.46509353,17.70763334,13.55609825,17.27117488,27.80157647,24.49842353,20.075,27.625,89.73822453,6.724275474,3.0125,0.525,27.58311825,30.417,46.3929,-1.7257000000000033
Mozambique,2015,27042.00195,34.40000153,51.17617521,10.3714084,26.51349315,11.93892324,35.97137876,12.36707992,34.81487395,16.84666736,80.17136583,6.565709571,10.68295442,2.579970181,34.13520944,38.797,84.0206,-4.247599999999991
Burkina Faso,2015,18110.61523,27.53000069,50.13713109,25.67354095,22.43017891,1.759149043,38.8551637,30.20218489,28.6486943,2.293957106,79.83579216,13.75233459,6.060553432,0.351319818,68.41381213,40.088,101.0893,-3.6400000000000006
Ethiopia,2020,114963.5859,21.69499969,49.61557274,26.74071964,18.63506013,5.008647486,40.03013919,30.18668334,23.49561327,6.287564203,84.21282816,14.30300858,1.091582355,0.392580896,103.8400628,32.78,48.749,-2.105399999999996
Madagascar,2015,24234.08008,35.19299698,48.89177354,2.67716038,30.40673651,18.02432957,33.14457773,1.743479446,39.69799969,25.41394313,77.88983072,4.396509873,13.29711369,4.416545719,42.71383981,32.765,65.9598,-0.390900000000002
Somalia,2015,13797.2041,43.24500275,48.71115368,23.40618776,20.15410676,7.728551789,29.2281926,28.88714853,28.97578886,12.90887001,74.28070864,16.21294199,8.576478283,0.929871092,21.94010584,46.474,134.4741,-4.401100000000014
Uganda,2015,38225.44531,22.05999947,47.84155836,30.09540377,15.10676845,6.95626942,39.71700313,34.1765633,17.51911722,8.587316348,76.54635609,15.67629339,6.58371928,1.193631242,186.9008378,39.422,55.9756,-3.146099999999997
Burkina Faso,2020,20903.27734,30.60700035,47.21485446,31.2730034,21.15863263,0.353509502,32.7182589,38.62690254,28.3404457,0.314392863,80.08191854,14.60004919,4.875836487,0.442195781,78.66456871,36.085,85.3508,-2.8784999999999883
Niger,2020,24206.63672,16.62599945,46.91179747,21.6538987,27.02751244,4.406791392,39.15415932,23.98774039,31.99150648,4.866593813,85.81383976,9.950440829,2.13468778,2.101031634,19.2102621,45.588,116.3172,-0.7032999999999987
Chad,2020,16425.85938,23.52000046,46.18753479,14.74028929,31.56245714,7.509718784,37.57521525,14.35396111,38.52496761,9.545856027,74.19222309,15.99651381,8.922452721,0.888810384,13.21847284,43.849,110.5266,-3.8087000000000018
Democratic Republic of the Congo,2020,89561.40625,45.63800049,45.95212696,13.44122447,32.54231607,8.064332495,21.98279234,12.68294146,51.21598167,14.11828453,74.50335478,14.34445818,10.29905862,0.853128413,,,81.6798,-2.7242999999999995
Niger,2015,20001.66211,16.24699974,45.48245806,16.12883696,34.71956001,3.669144972,37.32994165,17.64359486,40.88848775,4.137975751,87.50853904,8.320286196,2.918844344,1.252330425,15.89020605,46.558,120.1644,-1.4635999999999996
Papua New Guinea,2020,8947.027344,13.34500027,45.34401752,2.128564452,22.15762495,30.36979308,39.07134367,2.429850293,24.43180086,34.06700517,86.07527164,0.172182261,7.390385564,6.362160532,21.52903767,25.996,44.1722,-1.3456000000000046
Chad,2015,14110.9707,22.5150013,44.39909697,13.51638311,34.70273994,7.381779982,35.57890074,13.87641398,41.26615647,9.278528806,74.75365178,12.27734182,12.11485643,0.854149972,11.22956957,46.367,129.491,-3.805999999999983
Democratic Republic of the Congo,2015,76244.53125,42.73999786,42.71817997,12.68729907,34.28402477,10.31049619,20.6225138,11.51689397,51.00984003,16.8507522,72.32037779,14.25532498,11.87596826,1.548328967,,,96.4925,-3.2446999999999946
Central African Republic,2015,4493.170898,40.27700043,42.31134542,21.34399718,32.01017408,4.334483318,31.89140779,17.35785358,43.70260925,7.048129392,57.76209901,27.25467806,14.67255123,0.310671709,7.735935343,41.044,115.5349,-3.035500000000013
Ethiopia,2015,100835.4531,19.4280014,42.0700672,21.73879027,24.47785615,11.71328639,32.45176743,23.5985521,29.78155581,14.16812467,81.95917654,14.02596733,2.482299691,1.532556439,90.80046232,33.428,62.3717,-3.5217000000000027
Papua New Guinea,2015,8107.771973,13.01200008,41.48550844,1.80995308,21.261052,35.44348648,34.990633,1.804724433,23.25354875,39.95109382,84.90514306,1.844907912,7.940776435,5.309172598,19.1718721,28.178,51.0885,-1.377599999999994
South Sudan,2015,10715.65723,18.85199928,41.24750946,30.69573713,13.55439295,14.50236045,36.72677973,32.66279967,14.31006538,16.30035522,60.70687736,22.22855395,10.30163914,6.762929552,17.71446046,36.325,98.6896,-0.02360000000000184
South Sudan,2020,11193.72852,20.1989994,40.95092717,37.42696287,13.53755519,8.084554762,33.59362881,42.16438068,14.11109616,10.13089435,70.01770445,18.71066092,11.27163464,0,16.78386372,29.166,98.6896,0.0
Central African Republic,2020,4829.76416,42.19799805,37.20240205,25.68237348,33.53911377,3.576110708,28.10659415,19.4058899,46.37307301,6.114442944,49.66166495,34.27978009,15.95940214,0.099152817,8.576551414,42.175,103.0456,-2.863400000000013
